task,phase,run,tag,n_trials,mean_reward,trial_rewards,notes
bench-aap2-010-log-does-not-say,v2.2-iter1,run_20260816_202942,seed_train,3,0.933,"[0.8, 1.0, 1.0]",
bench-aap2-001-single-job-outcome,v2.2-iter1,run_20260816_202942,FINAL_test_seed,3,0.756,"[1.0, 0.267, 1.0]",
bench-aap2-002-failed-jobs-on-controller,v2.2-iter1,run_20260816_202942,FINAL_test_seed,3,1.000,"[1.0, 1.0, 1.0]",
bench-aap2-003-never-started-explanation,v2.2-iter1,run_20260816_202942,FINAL_test_seed,3,1.000,"[1.0, 1.0, 1.0]",
bench-aap2-004-failing-task-and-host,v2.2-iter1,run_20260816_202942,FINAL_test_seed,3,0.667,"[1.0, 1.0, 0.0]",
bench-aap2-005-find-then-diagnose,v2.2-iter1,run_20260816_202942,FINAL_test_seed,3,1.000,"[1.0, 1.0, 1.0]",
bench-aap2-006-log-root-cause,v2.2-iter1,run_20260816_202942,FINAL_test_seed,3,1.000,"[1.0, 1.0, 1.0]",
bench-aap2-007-count-and-oldest,v2.2-iter1,run_20260816_202942,FINAL_test_seed,3,0.944,"[1.0, 1.0, 0.833]",
bench-aap2-008-preceding-task,v2.2-iter1,run_20260816_202942,FINAL_test_seed,3,1.000,"[1.0, 1.0, 1.0]",
bench-aap2-009-nonexistent-job,v2.2-iter1,run_20260816_202942,FINAL_test_seed,3,0.800,"[0.8, 0.8, 0.8]",
bench-aap2-010-log-does-not-say,v2.2-iter1,run_20260816_202942,FINAL_test_seed,3,1.000,"[1.0, 1.0, 1.0]",
